#
# System calls table, please make sure the table consists of only the syscalls
# really used somewhere in the project.
#
# The template is (name and arguments are optional if you need only __NR_x
# defined, but no real entry point in syscalls lib).
#
# name			code		name			arguments
# -----------------------------------------------------------------------
#
__NR_gettimeofday	78		sys_gettimeofday	(struct timeval *tv, struct timezone *tz)
__NR_preadv		320		sys_preadv_raw		(int fd, struct iovec *iov, unsigned long nr, unsigned long pos_l, unsigned long pos_h)
__NR_userfaultfd	364		sys_userfaultfd		(int flags)
__NR_ppoll		281		sys_ppoll		(struct pollfd *fds, unsigned int nfds, const struct timespec *tmo, const sigset_t *sigmask, size_t sigsetsize)
__NR_open_tree		428		sys_open_tree		(int dirfd, const char *pathname, unsigned int flags)
__NR_move_mount		429		sys_move_mount		(int from_dfd, const char *from_pathname, int to_dfd, const char *to_pathname, int flags)
__NR_fsopen		430		sys_fsopen		(char *fsname, unsigned int flags)
__NR_fsconfig		431		sys_fsconfig		(int fd, unsigned int cmd, const char *key, const char *value, int aux)
__NR_fsmount		432		sys_fsmount		(int fd, unsigned int flags, unsigned int attr_flags)
__NR_clone3		435		sys_clone3		(struct clone_args *uargs, size_t size)
__NR_close_range	436		sys_close_range		(unsigned int fd, unsigned int max_fd, unsigned int flags)
__NR_pidfd_open		434		sys_pidfd_open		(pid_t pid, unsigned int flags)
__NR_openat2		437		sys_openat2		(int dirfd, char *pathname, struct open_how *how, size_t size)
__NR_pidfd_getfd	438		sys_pidfd_getfd		(int pidfd, int targetfd, unsigned int flags)
__NR_rseq       	387		sys_rseq		(void *rseq, uint32_t rseq_len, int flags, uint32_t sig)
__NR_membarrier 	365		sys_membarrier		(int cmd, unsigned int flags, int cpu_id)
